position,name,rng,err,arm,tdp,delta
SS,Baseline,60,60,55,50,0.0
SS,RNG40xERR60xARM55xTDP50,40,60,55,50,-10.1
SS,RNG45xERR60xARM55xTDP50,45,60,55,50,-7.0
SS,RNG50xERR60xARM55xTDP50,50,60,55,50,-11.2
SS,RNG55xERR60xARM55xTDP50,55,60,55,50,-13.1
SS,RNG65xERR60xARM55xTDP50,65,60,55,50,28.4
SS,RNG70xERR60xARM55xTDP50,70,60,55,50,32.6
SS,RNG75xERR60xARM55xTDP50,75,60,55,50,33.9
SS,RNG60xERR50xARM55xTDP50,60,50,55,50,-4.1
SS,RNG60xERR55xARM55xTDP50,60,55,55,50,-4.0
SS,RNG60xERR65xARM55xTDP50,60,65,55,50,-0.2
SS,RNG60xERR70xARM55xTDP50,60,70,55,50,3.3
SS,RNG60xERR75xARM55xTDP50,60,75,55,50,2.0
SS,RNG60xERR60xARM50xTDP50,60,60,50,50,-10.1
SS,RNG60xERR60xARM60xTDP50,60,60,60,50,15.4
SS,RNG60xERR60xARM65xTDP50,60,60,65,50,27.8
SS,RNG60xERR60xARM70xTDP50,60,60,70,50,29.1
SS,RNG60xERR60xARM75xTDP50,60,60,75,50,31.8
SS,RNG60xERR60xARM55xTDP45,60,60,55,45,-4.1
SS,RNG60xERR60xARM55xTDP55,60,60,55,55,-0.8
SS,RNG60xERR60xARM55xTDP60,60,60,55,60,1.6
SS,RNG60xERR60xARM55xTDP65,60,60,55,65,1.6
SS,RNG60xERR60xARM55xTDP70,60,60,55,70,0.4
SS,RNG60xERR60xARM55xTDP75,60,60,55,75,0.8
SS,RNG70xERR70xARM70xTDP70,70,70,70,70,41.2
SS,RNG70xERR70xARM55xTDP50,70,70,55,50,34.9
SS,RNG70xERR60xARM70xTDP50,70,60,70,50,31.8
SS,RNG70xERR60xARM55xTDP70,70,60,55,70,33.2
SS,RNG60xERR70xARM70xTDP50,60,70,70,50,35.6
SS,RNG60xERR70xARM55xTDP70,60,70,55,70,4.4
SS,RNG60xERR60xARM70xTDP70,60,60,70,70,33.1
SS,RNG50xERR60xARM50xTDP50,50,60,50,50,-12.1
SS,RNG70xERR60xARM50xTDP50,70,60,50,50,33.4
SS,RNG40xERR60xARM40xTDP50,40,60,40,50,-8.2
SS,RNG45xERR60xARM45xTDP50,45,60,45,50,-8.7
SS,RNG65xERR60xARM65xTDP50,65,60,65,50,30.7
SS,RNG75xERR60xARM75xTDP50,75,60,75,50,36.2
SS,RNG65xERR60xARM70xTDP50,65,60,70,50,35.0
SS,RNG70xERR60xARM65xTDP50,70,60,65,50,32.8
SS,RNG65xERR60xARM75xTDP50,65,60,75,50,34.8
SS,RNG70xERR60xARM75xTDP50,70,60,75,50,32.7
SS,RNG75xERR60xARM70xTDP50,75,60,70,50,33.2
SS,RNG40xERR60xARM70xTDP50,40,60,70,50,-11.0
SS,RNG70xERR60xARM40xTDP50,70,60,40,50,28.5
SS,RNG75xERR60xARM40xTDP50,75,60,40,50,30.0
SS,RNG40xERR60xARM75xTDP50,40,60,75,50,-9.8
