Season,Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
2025,"Matt Olson","ATL","1B",1429,,,,1,,2,13,,17,,,,,,,,9,8,-4.216311903700131,"Matt Olson",14344,621566
2025,"Ty France","- - -","1B",976.2,,,,0,,1,8,,9,,,,,,,,10,7,-0.11822728889538148,"Ty France",17982,664034
2025,"Carlos Santana","- - -","1B",848.1,,,,0,,1,11,,12,,,,,,,,8,6,-0.10329093602762018,"Carlos Santana",2396,467793
2025,"Ryan O'Hearn","- - -","1B",541.1,,,,0,,-1,6,,4,,,,,,,,6,6,1.7813242592273557,"Ryan O'Hearn",16442,656811
2025,"Willson Contreras","STL","1B",1011.2,,,,0,,-2,2,,-1,,,,,,,,6,4,-3.3589040119959304,"Willson Contreras",11609,575929
2025,"Spencer Steer","CIN","1B",1009.2,,,,0,,0,8,,8,,,,,,,,6,4,-2.830189315199159,"Spencer Steer",26323,668715
2025,"Christian Walker","HOU","1B",1316,,,,0,,-1,-6,,-7,,,,,,,,2,2,-8.202513139190549,"Christian Walker",13419,572233
2025,"Kody Clemens","MIN","1B",397.2,,,,-1,,0,4,,3,,,,,,,,3,2,-0.8561262215095935,"Kody Clemens",20572,665019
2025,"Enmanuel Valdez","PIT","1B",190,,,,0,,-1,3,,2,,,,,,,,2,2,0.3011348747843474,"Enmanuel Valdez",21716,665839
2025,"Jonathan Aranda","TBR","1B",765.2,,,,1,,1,5,,7,,,,,,,,1,2,-5.20725603786417,"Jonathan Aranda",21837,666018
2025,"Ezequiel Duran","TEX","1B",141,,,,0,,0,4,,4,,,,,,,,2,2,0.5967159705090574,"Ezequiel Duran",23733,677649
2025,"Otto Kemp","PHI","1B",146,,,,0,,0,2,,2,,,,,,,,2,2,0.5643935191664837,"Otto Kemp",31792,805249
2025,"Justin Turner","CHC","1B",218,,,,0,,0,2,,2,,,,,,,,1,1,-0.6649790432553688,"Justin Turner",5235,457759
2025,"Donovan Solano","SEA","1B",377.1,,,,0,,1,-1,,0,,,,,,,,1,1,-1.8838222179937991,"Donovan Solano",8623,456781
2025,"Enrique Hernández","LAD","1B",168,,,,0,,0,4,,3,,,,,,,,1,1,-0.5636920482183719,"Enrique Hernandez",10472,571771
2025,"Ildemaro Vargas","ARI","1B",81,,,,0,,0,1,,1,,,,,,,,1,1,0.4374680463056506,"Ildemaro Vargas",13324,545121
2025,"Rhys Hoskins","MIL","1B",670.2,,,,0,,0,1,,2,,,,,,,,1,1,-4.329875378482891,"Rhys Hoskins",16472,656555
2025,"Gavin Sheets","SDP","1B",99.1,,,,0,,0,0,,0,,,,,,,,1,1,-0.04527548900264999,"Gavin Sheets",19901,657757
2025,"Miguel Vargas","CHW","1B",480.2,,,,0,,1,3,,4,,,,,,,,1,1,-2.525739440353391,"Miguel Vargas",20178,678246
2025,"Nick Maton","CHW","1B",22,,,,0,,0,1,,1,,,,,,,,1,1,0.6405408070249131,"Nick Maton",21635,665155
2025,"Jhonkensy Noel","CLE","1B",50,,,,0,,-1,2,,0,,,,,,,,1,1,0.6908913681765012,"Jhonkensy Noel",24257,678877
2025,"Liover Peguero","PIT","1B",54.2,,,,0,,0,-1,,-1,,,,,,,,0,1,-0.09879604610117171,"Liover Peguero",24273,678894
2025,"Jonah Bride","- - -","1B",49,,,,0,,0,1,,1,,,,,,,,1,1,0.3764858595925696,"Jonah Bride",24703,681146
2025,"Andrew Vaughn","- - -","1B",768,,,,0,,0,-4,,-4,,,,,,,,1,1,-4.790096641625356,"Andrew Vaughn",26197,683734
2025,"Spencer Horwitz","PIT","1B",828.2,,,,0,,1,-1,,0,,,,,,,,1,1,-5.612769934346787,"Spencer Horwitz",26477,687462
2025,"Ben Rice","NYY","1B",370,,,,0,,-2,0,,-2,,,,,,,,1,1,-2.055938169786806,"Ben Rice",29576,700250
2025,"Bob Seymour","TBR","1B",191,,,,0,,1,1,,2,,,,,,,,1,1,-0.9940290401885429,"Bob Seymour",30028,676044
2025,"Sal Stewart","CIN","1B",81,,,,0,,0,2,,2,,,,,,,,1,1,0.24440527930867229,"Sal Stewart",31505,701398
