Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Ke'Bryan Hayes","- - -","3B",1283,,,,0,,0,17,,19,,,,,,,,22,17,19.213848911074813,"Ke'Bryan Hayes",18577,663647
"Maikel Garcia","KCR","3B",1144.2,,,,1,,0,11,,13,,,,,,,,18,14,16.279639764837114,"Maikel Garcia",22715,672580
"Ryan McMahon","- - -","3B",1265,,,,0,,0,10,,10,,,,,,,,6,7,8.223270206518478,"Ryan McMahon",15112,641857
"José Ramírez","CLE","3B",1145.2,,,,0,,-1,1,,0,,,,,,,,6,6,7.439326912185919,"Jose Ramirez",13510,608070
"Josh Jung","TEX","3B",1086.2,,,,-1,,-1,-2,,-3,,,,,,,,5,3,6.136227780026518,"Josh Jung",26299,673962
"Matt Chapman","SFG","3B",1116.1,,,,0,,-1,4,,5,,,,,,,,4,4,5.856104760160567,"Matt Chapman",16505,656305
"Ernie Clement","TOR","3B",603,,,,0,,1,10,,11,,,,,,,,6,4,5.601289942971061,"Ernie Clement",20352,676391
"Graham Pauley","MIA","3B",390,,,,0,,1,3,,3,,,,,,,,6,5,5.580657538521326,"Graham Pauley",31363,688363
"Alex Bregman","BOS","3B",972.1,,,,0,,0,0,,1,,,,,,,,3,3,4.787335518277467,"Alex Bregman",17678,608324
"Ronny Mauricio","NYM","3B",292,,,,-1,,0,4,,4,,,,,,,,5,4,4.5533790035569925,"Ronny Mauricio",23698,677595
"Nolan Arenado","STL","3B",880.2,,,,0,,0,6,,6,,,,,,,,3,2,4.078460454070754,"Nolan Arenado",9777,571448
"Kyle Karros","COL","3B",343.1,,,,0,,0,3,,3,,,,,,,,4,3,4.03501301658307,"Kyle Karros",33252,691720
"Caleb Durbin","MIL","3B",1060.2,,,,-1,,0,5,,5,,,,,,,,2,1,3.8568742305226076,"Caleb Durbin",29646,702332
"Jared Triolo","PIT","3B",260.1,,,,1,,0,6,,7,,,,,,,,4,4,3.451846753790074,"Jared Triolo",25807,669707
"Santiago Espinal","CIN","3B",487.1,,,,0,,0,0,,0,,,,,,,,3,2,3.372076062296255,"Santiago Espinal",19997,669289
"Max Schuemann","ATH","3B",119.2,,,,0,,1,0,,1,,,,,,,,4,3,3.1326829064135584,"Max Schuemann",24488,680474
"Brady House","WSN","3B",615.1,,,,-1,,0,3,,0,,,,,,,,2,1,3.064056308638179,"Brady House",29993,691781
"Royce Lewis","MIN","3B",826,,,,0,,1,-4,,-2,,,,,,,,1,2,2.733596414619249,"Royce Lewis",20437,668904
"Carlos Correa","HOU","3B",417,,,,0,,-1,-1,,-2,,,,,,,,2,1,2.592483629385419,"Carlos Correa",14162,621043
"Jordan Westburg","BAL","3B",439.2,,,,0,,0,-5,,-5,,,,,,,,2,1,2.5509222112024132,"Jordan Westburg",27815,676059
"Brett Baty","NYM","3B",573,,,,0,,1,6,,4,,,,,,,,2,1,2.482719199605399,"Brett Baty",26123,683146
"Mauricio Dubón","HOU","3B",141,,,,0,,0,1,,1,,,,,,,,3,2,2.365524884454837,"Mauricio Dubon",16530,643289
