Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Ceddanne Rafaela","BOS","CF",1167.1,,,,,5,1,14,,20,,,,,,,,22,22,18.668198857223427,"Ceddanne Rafaela",24262,678882
"Pete Crow-Armstrong","CHC","CF",1357,,,,,4,-1,12,,15,,,,,,,,21,21,17.53055016972111,"Pete Crow-Armstrong",27769,691718
"Jacob Young","WSN","CF",901.1,,,,,0,4,9,,13,,,,,,,,14,15,12.323016608335912,"Jacob Young",29931,696285
"Denzel Clarke","ATH","CF",383.2,,,,,-2,2,7,,7,,,,,,,,13,11,10.063510881387115,"Denzel Clarke",29858,672016
"Victor Scott II","STL","CF",1087.2,,,,,-1,-3,16,,12,,,,,,,,16,11,8.559012892884477,"Victor Scott II",31349,687363
"Bryce Teodosio","LAA","CF",406,,,,,0,3,4,,7,,,,,,,,10,9,8.056862022650167,"Bryce Teodosio",29524,669326
"Brenton Doyle","COL","CF",1090.2,,,,,3,-2,-1,,0,,,,,,,,6,11,7.917346385766838,"Brenton Doyle",25479,686668
"Kyle Isbel","KCR","CF",1032,,,,,-1,-1,11,,9,,,,,,,,12,10,7.617697354558551,"Kyle Isbel",21614,664728
"Tyrone Taylor","NYM","CF",783,,,,,4,0,3,,7,,,,,,,,4,8,6.267210600419302,"Tyrone Taylor",13675,621438
"Julio Rodríguez","SEA","CF",1406.1,,,,,2,2,5,,9,,,,,,,,10,10,6.065384852516843,"Julio Rodriguez",23697,677594
"Jake Meyers","HOU","CF",844,,,,,-3,-1,9,,5,,,,,,,,9,8,5.3990650959633015,"Jake Meyers",20308,676694
"Johan Rojas","PHI","CF",418.2,,,,,2,0,2,,4,,,,,,,,5,6,5.183886121865699,"Johan Rojas",24336,679032
"Myles Straw","TOR","CF",532.1,,,,,0,2,13,,15,,,,,,,,7,7,5.124579583133852,"Myles Straw",17620,664702
"Derek Hill","- - -","CF",330,,,,,0,0,8,,8,,,,,,,,5,6,5.120060783330426,"Derek Hill",16947,656537
"Daulton Varsho","TOR","CF",550.1,,,,,-2,1,11,,10,,,,,,,,9,6,4.799444351339436,"Daulton Varsho",19918,662139
"Jake Mangum","TBR","CF",278.2,,,,,0,0,1,,1,,,,,,,,6,5,4.698580128464568,"Jake Mangum",26202,663968
"Luis Robert Jr.","CHW","CF",865.2,,,,,-1,-2,3,,0,,,,,,,,7,7,4.678647425519919,"Luis Robert Jr.",20043,673357
"Andy Pages","LAD","CF",973,,,,,5,0,-6,,-1,,,,,,,,5,7,4.1216495046097865,"Andy Pages",24816,681624
"Wyatt Langford","TEX","CF",319.1,,,,,1,-1,4,,4,,,,,,,,5,5,3.9472960127698813,"Wyatt Langford",33333,694671
"Garrett Mitchell","MIL","CF",179.2,,,,,-1,0,1,,0,,,,,,,,5,4,3.2689272185847877,"Garrett Mitchell",27555,669003
"Michael Harris II","ATL","CF",1397,,,,,-2,-1,9,,6,,,,,,,,8,7,2.8798688675594173,"Michael Harris II",25931,671739
"Jakob Marsee","MIA","CF",393,,,,,-2,-1,4,,1,,,,,,,,4,4,2.843570548900489,"Jakob Marsee",31370,805300
"Brandon Lockridge","- - -","CF",145.1,,,,,2,0,2,,4,,,,,,,,3,3,2.6676467408997673,"Brandon Lockridge",21496,663604
"Jackson Merrill","SDP","CF",1001.1,,,,,1,3,-4,,0,,,,,,,,2,5,2.2568219793729236,"Jackson Merrill",29490,701538
"Nathan Church","STL","CF",135,,,,,3,0,0,,3,,,,,,,,2,2,2.077769788176126,"Nathan Church",31357,701675
"Evan Carter","TEX","CF",460,,,,,-1,0,4,,3,,,,,,,,4,3,2.018770146965298,"Evan Carter",27790,694497
"Tommy Edman","LAD","CF",179,,,,,1,0,-1,,0,,,,,,,,1,2,2.0126296427928567,"Tommy Edman",19470,669242
