Season,Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
2025,"Patrick Bailey","SFG","C",1029.2,14,4,2,,,1,,,19,,,,,,,21.010000228881836,,30,35.191209829988544,"Patrick Bailey",27478,672275
2025,"Alejandro Kirk","TOR","C",965.1,9,-4,-1,,,5,,,9,,,,,,,11.770000457763672,,22,25.563337749341645,"Alejandro Kirk",22581,672386
2025,"Austin Hedges","CLE","C",479.2,9,0,3,,,-1,,,9,,,,,,,9.390000343322754,,14,16.84177004458755,"Austin Hedges",12976,595978
2025,"Dillon Dingler","DET","C",1011.2,4,0,2,,,2,,,6,,,,,,,5.53000020980835,,12,19.053511523791812,"Dillon Dingler",27464,693307
2025,"Austin Wells","NYY","C",1001,9,-11,-2,,,0,,,-7,,,,,,,10.09000015258789,,11,18.202563599513642,"Austin Wells",27562,669224
2025,"Luis Torrens","NYM","C",640.2,2,4,6,,,-2,,,11,,,,,,,2.319999933242798,,10,14.0352506798854,"Luis Torrens",15905,620443
2025,"Carlos Narváez","BOS","C",952,2,2,7,,,-2,,,10,,,,,,,2.0299999713897705,,9,14.277477180012955,"Carlos Narvaez",19722,665966
2025,"Gabriel Moreno","ARI","C",598,4,-4,-1,,,3,,,1,,,,,,,3.869999885559082,,8,10.896108477123821,"Gabriel Moreno",22664,672515
2025,"Tyler Heineman","TOR","C",424.2,3,2,2,,,2,,,10,,,,,,,2.700000047683716,,7,9.015871714961937,"Tyler Heineman",13897,623168
2025,"Cal Raleigh","SEA","C",1072,6,-2,-1,,,-2,,,2,,,,,,,11.140000343322754,,7,20.338478175256995,"Cal Raleigh",21534,663728
2025,"Sean Murphy","ATL","C",633,1,1,3,,,5,,,10,,,,,,,1.090000033378601,,6,11.382004600877941,"Sean Murphy",19352,669221
2025,"Pedro Pagés","STL","C",901.2,2,5,3,,,0,,,9,,,,,,,6.789999961853027,,6,15.790606462991434,"Pedro Pages",25782,686780
2025,"Hayden Senger","NYM","C",195.1,2,0,1,,,1,,,5,,,,,,,1.600000023841858,,5,5.372312178568848,"Hayden Senger",21489,663584
2025,"Reese McGuire","CHC","C",335.1,1,-1,-1,,,1,,,-1,,,,,,,2.5899999141693115,,4,5.931582681719825,"Reese McGuire",15674,624512
2025,"Alex Jackson","BAL","C",248.2,1,-1,1,,,1,,,1,,,,,,,1.6699999570846558,,4,5.556869615470168,"Alex Jackson",17276,656577
2025,"Carson Kelly","CHC","C",864,-2,3,3,,,2,,,4,,,,,,,-4.190000057220459,,3,8.171395879524017,"Carson Kelly",13620,608348
2025,"J.C. Escarra","NYY","C",209,4,1,-2,,,-1,,,2,,,,,,,3.9100000858306885,,3,3.677683759658438,"J.C. Escarra",20084,641555
2025,"William Contreras","MIL","C",1111.2,0,-2,1,,,1,,,0,,,,,,,-2.690000057220459,,3,8.870307842139805,"William Contreras",20503,661388
2025,"Adley Rutschman","BAL","C",573.1,2,4,1,,,2,,,10,,,,,,,0.8700000047683716,,3,5.883118992131172,"Adley Rutschman",26288,668939
2025,"Ali Sánchez","- - -","C",51.1,1,0,-1,,,0,,,0,,,,,,,0.24999999441206455,,2,0.955307456725409,"Ali Sanchez",18551,645305
2025,"Freddy Fermin","- - -","C",803.1,0,8,2,,,2,,,13,,,,,,,0.06999999843537807,,2,9.154119208671727,"Freddy Fermin",21840,666023
2025,"Henry Davis","PIT","C",681.2,-2,6,4,,,0,,,8,,,,,,,0.44999998807907104,,2,10.061552247147011,"Henry Davis",29617,680779
2025,"Elias Díaz","SDP","C",650,0,-2,-1,,,0,,,0,,,,,,,1,,1,6.487212413861628,"Elias Diaz",11680,553869
2025,"Luke Maile","KCR","C",143,2,0,-1,,,-1,,,0,,,,,,,1.309999942779541,,1,1.3359305125672514,"Luke Maile",13355,571912
2025,"Tomás Nido","DET","C",85.2,0,0,-1,,,-1,,,-2,,,,,,,0.5600000023841858,,1,0.5296114783583395,"Tomas Nido",13755,621512
2025,"Yohel Pozo","STL","C",324,2,0,-1,,,2,,,1,,,,,,,0.800000011920929,,1,2.772040870457232,"Yohel Pozo",18848,650968
2025,"Nick Fortes","- - -","C",585.2,3,1,-1,,,1,,,4,,,,,,,4.050000071525574,,1,7.741254008104024,"Nick Fortes",21538,663743
2025,"Rafael Marchán","PHI","C",283,1,0,1,,,1,,,3,,,,,,,-0.18000000715255737,,1,4.407565300007413,"Rafael Marchan",21646,665561
2025,"Miguel Amaya","CHC","C",229.2,1,0,0,,,0,,,1,,,,,,,-0.6299999952316284,,1,2.148018922752911,"Miguel Amaya",21693,665804
2025,"Drew Millas","WSN","C",123.1,1,-1,0,,,-1,,,-2,,,,,,,0.949999988079071,,1,1.4015018413272975,"Drew Millas",25643,686452
2025,"Adrian Del Castillo","ARI","C",33.1,0,0,0,,,0,,,0,,,,,,,0.15000000596046448,,1,0.8570993840631288,"Adrian Del Castillo",29554,680728
2025,"Hunter Goodman","COL","C",841.1,0,-1,-1,,,1,,,-1,,,,,,,1.2599999904632568,,1,8.353519779047875,"Hunter Goodman",29715,696100
2025,"Sandy León","ATL","C",29,0,0,0,,,0,,,0,,,,,,,0.07000000029802322,,0,-0.0004687556922672309,"Sandy Leon",5273,506702
2025,"Christian Vázquez","MIN","C",519,-1,4,1,,,2,,,5,,,,,,,0.6700000166893005,,0,7.845895026428671,"Christian Vazquez",9774,543877
2025,"Tucker Barnhart","TEX","C",38.1,0,0,0,,,0,,,0,,,,,,,-0.1599999964237213,,0,-0.20766975290433626,"Tucker Barnhart",10200,571466
2025,"Eric Haase","MIL","C",177,-1,0,0,,,0,,,-1,,,,,,,-0.23999999463558197,,0,1.8828621215553958,"Eric Haase",14111,606992
2025,"Dom Nuñez","CLE","C",17,0,0,0,,,0,,,0,,,,,,,0,,0,0.001960362131602472,"Dom Nunez",15055,624513
2025,"Austin Wynns","- - -","C",253.1,-2,0,2,,,0,,,0,,,,,,,-1.030000001192093,,0,1.6947771308534652,"Austin Wynns",15271,642851
2025,"Brian Navarreto","MIA","C",36,0,0,0,,,0,,,1,,,,,,,0.2800000011920929,,0,-0.048714746170341106,"Brian Navarreto",16398,640459
2025,"Aramis Garcia","ARI","C",10,0,0,0,,,0,,,0,,,,,,,0,,0,0.18020326797028685,"Aramis Garcia",16925,605244
2025,"Chadwick Tromp","- - -","C",55.1,0,0,0,,,0,,,1,,,,,,,0.13000000268220901,,0,0.2999794788422434,"Chadwick Tromp",16953,644433
2025,"Chad Wallach","LAA","C",2,0,0,0,,,0,,,0,,,,,,,0.009999999776482582,,0,0.029432487172097295,"Chad Wallach",17161,595453
2025,"Brett Sullivan","PIT","C",23,0,0,0,,,0,,,0,,,,,,,-0.029999999329447746,,0,0.6222238414752626,"Brett Sullivan",18217,664954
