Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Steven Kwan","CLE","LF",1328,,,,,7,5,10,,22,,,,,,,,5,12,7.986423295847827,"Steven Kwan",24610,680757
"Cody Bellinger","NYY","LF",572.2,,,,,3,0,4,,7,,,,,,,,4,4,2.917766128522044,"Cody Bellinger",15998,641355
"Alan Roden","- - -","LF",279.2,,,,,2,1,0,,3,,,,,,,,2,3,2.4793391634033877,"Alan Roden",31564,702176
"Wyatt Langford","TEX","LF",841.1,,,,,0,0,12,,12,,,,,,,,5,4,2.209216863241924,"Wyatt Langford",33333,694671
"Austin Martin","MIN","LF",262,,,,,2,0,3,,5,,,,,,,,3,3,2.1978660602899236,"Austin Martin",27462,668885
"Myles Straw","TOR","LF",121,,,,,1,0,3,,4,,,,,,,,2,2,2.0169778689778894,"Myles Straw",17620,664702
"Eli White","ATL","LF",189.2,,,,,2,1,-1,,2,,,,,,,,1,2,1.8269375958797487,"Eli White",19346,642201
"Andy Pages","LAD","LF",153,,,,,0,0,2,,2,,,,,,,,2,2,1.7174038060480479,"Andy Pages",24816,681624
"John Rave","KCR","LF",208,,,,,1,0,-1,,0,,,,,,,,1,2,1.6229406431034308,"John Rave",26284,670231
"Harrison Bader","MIN","LF",496,,,,,1,0,6,,7,,,,,,,,3,3,1.495052566137764,"Harrison Bader",18030,664056
"Akil Baddoo","DET","LF",32,,,,,2,0,2,,4,,,,,,,,1,1,1.2689538649391028,"Akil Baddoo",22168,668731
"Jerar Encarnacion","SFG","LF",10,,,,,1,0,1,,2,,,,,,,,0,1,1.2518740791336336,"Jerar Encarnacion",21871,666464
"Zach McKinstry","DET","LF",88,,,,,1,0,1,,2,,,,,,,,1,1,1.1427246774731912,"Zach McKinstry",19392,656716
"Starling Marte","NYM","LF",50,,,,,1,0,1,,2,,,,,,,,0,1,1.0756560952435898,"Starling Marte",9241,516782
"Matthew Lugo","LAA","LF",39,,,,,1,0,0,,1,,,,,,,,0,1,1.0654800882147566,"Matthew Lugo",25980,683090
"Mauricio Dubón","HOU","LF",175.1,,,,,1,1,4,,6,,,,,,,,0,1,1.0108110568390722,"Mauricio Dubon",16530,643289
"Alexander Canario","PIT","LF",200,,,,,0,0,4,,4,,,,,,,,1,1,0.787689401283463,"Alexander Canario",22842,672744
"Victor Scott II","STL","LF",21,,,,,0,0,0,,0,,,,,,,,1,1,0.7336868797766223,"Victor Scott II",31349,687363
"Bryce Johnson","SDP","LF",106.1,,,,,0,0,2,,2,,,,,,,,2,1,0.6600920268633886,"Bryce Johnson",20002,669369
"MJ Melendez","KCR","LF",106,,,,,2,0,0,,2,,,,,,,,1,1,0.6562521681050539,"MJ Melendez",22197,669004
"Jorge Barrosa","ARI","LF",65.1,,,,,0,0,1,,1,,,,,,,,1,1,0.6377446302720707,"Jorge Barrosa",23968,678489
"Michael Massey","KCR","LF",85,,,,,0,0,2,,2,,,,,,,,0,1,0.6321726852071565,"Michael Massey",27684,686681
"Kody Clemens","- - -","LF",55,,,,,0,0,0,,0,,,,,,,,0,1,0.5732629419407995,"Kody Clemens",20572,665019
"Owen Caissie","CHC","LF",12,,,,,0,0,0,,0,,,,,,,,1,1,0.5655654035505923,"Owen Caissie",27496,683357
"Roman Anthony","BOS","LF",152,,,,,-1,0,0,,-1,,,,,,,,2,1,0.5567221283644028,"Roman Anthony",31812,701350
"Cavan Biggio","KCR","LF",28,,,,,0,0,1,,1,,,,,,,,1,1,0.5355724309633172,"Cavan Biggio",19252,624415
"Gustavo Campero","LAA","LF",10,,,,,0,0,0,,0,,,,,,,,0,1,0.5338899641415611,"Gustavo Campero",22707,672569
"Garrett Hampson","- - -","LF",43,,,,,0,0,0,,0,,,,,,,,1,1,0.5239176653719679,"Garrett Hampson",19262,641658
"Heriberto Hernández","MIA","LF",266,,,,,-1,1,0,,0,,,,,,,,2,1,0.4705307474013656,"Heriberto Hernandez",24878,681715
"Tyler Soderstrom","ATH","LF",867.2,,,,,2,1,7,,10,,,,,,,,5,3,0.41819632297689324,"Tyler Soderstrom",27467,691016
