Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Wilyer Abreu","BOS","RF",847.1,,,,,5,-1,11,,15,,,,,,,,8,8,5.8716823721675615,"Wilyer Abreu",23772,677800
"Fernando Tatis Jr.","SDP","RF",1299,,,,,3,6,6,,15,,,,,,,,8,9,5.380659835387402,"Fernando Tatis Jr.",19709,665487
"Nathan Lukes","TOR","RF",446.1,,,,,2,2,3,,7,,,,,,,,4,5,3.6593893554646493,"Nathan Lukes",18123,664770
"Sal Frelick","MIL","RF",1117,,,,,3,1,5,,9,,,,,,,,6,7,3.362863596502394,"Sal Frelick",29622,686217
"Wenceel Pérez","DET","RF",625.1,,,,,2,0,1,,3,,,,,,,,4,5,2.7189061644001695,"Wenceel Perez",22857,672761
"Cody Bellinger","NYY","RF",416,,,,,3,0,5,,8,,,,,,,,2,4,2.6533120869742985,"Cody Bellinger",15998,641355
"Joey Wiemer","MIA","RF",141,,,,,0,0,3,,3,,,,,,,,3,3,2.5212010701117196,"Joey Wiemer",27690,686894
"Andy Pages","LAD","RF",243,,,,,1,1,5,,7,,,,,,,,3,3,2.515818926103627,"Andy Pages",24816,681624
"Roman Anthony","BOS","RF",290.1,,,,,0,-1,9,,8,,,,,,,,4,3,2.2628468613900923,"Roman Anthony",31812,701350
"Aaron Judge","NYY","RF",822.1,,,,,0,0,3,,3,,,,,,,,3,5,2.2444668645364505,"Aaron Judge",15640,592450
"Stuart Fairchild","ATL","RF",78.2,,,,,1,1,-2,,0,,,,,,,,0,2,2.0336851414623376,"Stuart Fairchild",20321,656413
"Lars Nootbaar","STL","RF",198,,,,,1,0,3,,4,,,,,,,,2,3,1.9753037072414796,"Lars Nootbaar",21454,663457
"Dominic Fletcher","CHW","RF",64.2,,,,,2,1,-1,,2,,,,,,,,0,2,1.7245179098540693,"Dominic Fletcher",26149,666150
"Corbin Carroll","ARI","RF",1189.1,,,,,-4,1,10,,7,,,,,,,,9,5,1.628217203488238,"Corbin Carroll",25878,682998
"Yanquiel Fernández","COL","RF",135,,,,,2,0,-1,,1,,,,,,,,0,2,1.3812704475300421,"Yanquiel Fernandez",28552,692585
"Kameron Misner","TBR","RF",110,,,,,1,0,2,,3,,,,,,,,1,2,1.3380809803661515,"Kameron Misner",26374,670224
"Alejandro Osuna","TEX","RF",99,,,,,0,0,1,,1,,,,,,,,1,1,1.1922399539811264,"Alejandro Osuna",27915,696030
