Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR","SS",1340,,,,-1,,0,4,,3,,,,,,,,24,20,23.61645006616783,"Bobby Witt Jr.",25764,677951
"Masyn Winn","STL","SS",1107.2,,,,1,,0,1,,2,,,,,,,,21,17,20.185276464988135,"Masyn Winn",27479,691026
"Trea Turner","PHI","SS",1216.1,,,,-2,,-1,5,,2,,,,,,,,16,10,17.341949632203377,"Trea Turner",16252,607208
"Nick Allen","ATL","SS",1045.2,,,,0,,1,11,,12,,,,,,,,17,12,16.728014384775165,"Nick Allen",22277,669397
"Joey Ortiz","MIL","SS",1217.2,,,,-1,,0,-1,,-2,,,,,,,,12,10,13.986610963491923,"Joey Ortiz",25493,687401
"Jeremy Peña","HOU","SS",1061.2,,,,0,,-1,6,,5,,,,,,,,8,6,10.654083283096568,"Jeremy Pena",21636,665161
"Xander Bogaerts","SDP","SS",1083.1,,,,0,,0,-4,,-4,,,,,,,,7,7,9.949409779735802,"Xander Bogaerts",12161,593428
"Willy Adames","SFG","SS",1389.2,,,,1,,0,-3,,-2,,,,,,,,5,4,9.764975708107865,"Willy Adames",15986,642715
"Francisco Lindor","NYM","SS",1374,,,,-4,,2,1,,-1,,,,,,,,5,3,9.452624251142991,"Francisco Lindor",12916,596019
"Geraldo Perdomo","ARI","SS",1425,,,,-1,,0,4,,3,,,,,,,,5,3,9.0139297896595,"Geraldo Perdomo",22799,672695
"Mookie Betts","LAD","SS",1278,,,,1,,2,14,,17,,,,,,,,5,3,8.652529545409044,"Mookie Betts",13611,605141
"Otto Lopez","MIA","SS",956.2,,,,-1,,-1,9,,7,,,,,,,,4,2,7.2141933961556814,"Otto Lopez",19608,672640
"Mauricio Dubón","HOU","SS",206.1,,,,-1,,-1,1,,-1,,,,,,,,8,6,7.135953455561073,"Mauricio Dubon",16530,643289
"Dansby Swanson","CHC","SS",1387,,,,1,,1,5,,7,,,,,,,,2,2,6.974996058461433,"Dansby Swanson",18314,621020
"Colson Montgomery","CHW","SS",502.2,,,,1,,1,5,,7,,,,,,,,6,5,6.4781172222905745,"Colson Montgomery",29712,695657
"Gabriel Arias","CLE","SS",862,,,,-1,,-1,5,,3,,,,,,,,3,2,6.349625782826451,"Gabriel Arias",22563,672356
"Corey Seager","TEX","SS",828,,,,1,,1,14,,16,,,,,,,,4,4,6.126787881723948,"Corey Seager",13624,608369
"Ezequiel Tovar","COL","SS",800.2,,,,0,,0,-2,,-2,,,,,,,,3,3,5.693011837332963,"Ezequiel Tovar",24064,678662
"José Caballero","- - -","SS",339,,,,1,,-1,4,,4,,,,,,,,5,4,4.596455386509874,"Jose Caballero",23401,676609
"Chase Meidroth","CHW","SS",569,,,,0,,0,-2,,-2,,,,,,,,3,3,4.169282719322626,"Chase Meidroth",31580,805367
"Darell Hernaiz","ATH","SS",199.1,,,,0,,0,2,,2,,,,,,,,4,3,3.8189813717695955,"Darell Hernaiz",26224,687231
"Thomas Saggese","STL","SS",240.1,,,,-2,,-1,2,,-1,,,,,,,,4,1,3.6104593604780213,"Thomas Saggese",27883,695336
"Taylor Walls","TBR","SS",720.2,,,,1,,1,15,,17,,,,,,,,1,1,3.55866258976995,"Taylor Walls",22458,670764
"Elly De La Cruz","CIN","SS",1382,,,,3,,-1,-7,,-5,,,,,,,,-3,0,3.1698491909765862,"Elly De La Cruz",26668,682829
"Jose Iglesias","SDP","SS",220.2,,,,-1,,-1,-2,,-4,,,,,,,,2,1,2.72238604689823,"Jose Iglesias",10231,578428
"Gunnar Henderson","BAL","SS",1249.2,,,,2,,-2,-3,,-3,,,,,,,,-3,-1,2.616855959833013,"Gunnar Henderson",26289,683002
"Jacob Wilson","ATH","SS",1053.2,,,,1,,-1,-10,,-10,,,,,,,,-3,-3,2.4103481434334344,"Jacob Wilson",33266,805779
"Nasim Nuñez","WSN","SS",128,,,,0,,-1,1,,0,,,,,,,,3,2,2.397389602641555,"Nasim Nunez",25979,683083
"Ezequiel Duran","TEX","SS",150.2,,,,-1,,-1,2,,0,,,,,,,,2,1,2.322277303102397,"Ezequiel Duran",23733,677649
"Jake Cronenworth","SDP","SS",79,,,,0,,0,1,,1,,,,,,,,3,2,2.21989969420606,"Jake Cronenworth",18036,630105
"Ryan Ritter","COL","SS",264.2,,,,0,,0,0,,0,,,,,,,,1,1,2.120924666173241,"Ryan Ritter",31500,690022
"Vinny Capra","- - -","SS",93,,,,1,,0,3,,4,,,,,,,,2,3,2.0727615227149196,"Vinny Capra",25040,681962
"Jared Triolo","PIT","SS",388.2,,,,0,,0,-2,,-2,,,,,,,,1,0,1.9320177921585233,"Jared Triolo",25807,669707
"Tim Anderson","LAA","SS",101,,,,1,,0,0,,1,,,,,,,,2,2,1.9255106920682081,"Tim Anderson",15172,641313
"Ernie Clement","TOR","SS",170,,,,0,,0,0,,0,,,,,,,,2,1,1.9013091323139888,"Ernie Clement",20352,676391
"Edmundo Sosa","PHI","SS",126,,,,0,,0,2,,2,,,,,,,,2,1,1.6412892098704825,"Edmundo Sosa",17022,624641
"Nick Gonzales","PIT","SS",109,,,,0,,0,-1,,-1,,,,,,,,2,1,1.578334451449861,"Nick Gonzales",27490,693304
"Carlos Correa","- - -","SS",781.2,,,,-1,,0,-10,,-11,,,,,,,,-2,-3,1.4571598015630567,"Carlos Correa",14162,621043
"Brooks Lee","MIN","SS",595,,,,0,,0,-8,,-8,,,,,,,,-1,-1,1.371237448005608,"Brooks Lee",31595,686797
"Kevin Newman","LAA","SS",90,,,,0,,0,-1,,-1,,,,,,,,1,1,1.3510293003157787,"Kevin Newman",17696,621028
"Zach McKinstry","DET","SS",248,,,,1,,1,2,,4,,,,,,,,0,0,1.2420395007149754,"Zach McKinstry",19392,656716
"Daniel Schneemann","CLE","SS",54,,,,0,,0,1,,1,,,,,,,,1,1,1.2334677948149826,"Daniel Schneemann",25180,682177
"Nico Hoerner","CHC","SS",37,,,,0,,0,0,,0,,,,,,,,1,1,1.1930795737896456,"Nico Hoerner",21479,663538
"Isiah Kiner-Falefa","- - -","SS",817,,,,-2,,-2,5,,1,,,,,,,,-3,-4,1.1188013937393952,"Isiah Kiner-Falefa",16512,643396
"Bryson Stott","PHI","SS",98,,,,-1,,0,1,,0,,,,,,,,1,1,0.9875938647344437,"Bryson Stott",26294,681082
"Andruw Monasterio","MIL","SS",201,,,,1,,0,-2,,-1,,,,,,,,0,1,0.9642320003778426,"Andruw Monasterio",19455,655316
"Javier Báez","DET","SS",427.2,,,,0,,1,-2,,-1,,,,,,,,-1,-1,0.9053755233123741,"Javier Baez",12979,595879
"Miguel Rojas","LAD","SS",117,,,,0,,0,0,,0,,,,,,,,0,1,0.8999088331165843,"Miguel Rojas",7802,500743
"Max Schuemann","ATH","SS",128.2,,,,-1,,0,1,,0,,,,,,,,1,-1,0.8922882268431598,"Max Schuemann",24488,680474
"Matt McLain","CIN","SS",38,,,,0,,0,-2,,-2,,,,,,,,0,1,0.8820593202640856,"Matt McLain",29695,680574
"Andrés Giménez","TOR","SS",119,,,,0,,0,0,,0,,,,,,,,0,0,0.7836471931995709,"Andres Gimenez",19950,665926
"Kyle Farmer","COL","SS",80.2,,,,0,,0,0,,0,,,,,,,,1,0,0.7372110086757715,"Kyle Farmer",14813,571657
"Nick Ahmed","TEX","SS",28,,,,0,,0,1,,1,,,,,,,,1,1,0.7352353666442316,"Nick Ahmed",12147,605113
"Leo Rivas","SEA","SS",39,,,,0,,0,0,,0,,,,,,,,1,0,0.7163740048308072,"Leo Rivas",21009,660844
"Tristan Gray","TBR","SS",62,,,,0,,0,0,,0,,,,,,,,1,0,0.7144706089592143,"Tristan Gray",19877,656484
"Paul DeJong","WSN","SS",68,,,,0,,0,-2,,-2,,,,,,,,1,0,0.7063847311934501,"Paul DeJong",18015,657557
"Maikel Garcia","KCR","SS",88.2,,,,0,,0,-2,,-2,,,,,,,,0,0,0.6843036350518849,"Maikel Garcia",22715,672580
"Ryan Fitzgerald","MIN","SS",48,,,,0,,0,0,,0,,,,,,,,1,1,0.5649404292623447,"Ryan Fitzgerald",24622,680837
"Jacob Amaya","CHW","SS",206.1,,,,-1,,0,-2,,-3,,,,,,,,0,-1,0.4739279841338955,"Jacob Amaya",23296,676070
"Garrett Hampson","- - -","SS",20,,,,0,,0,0,,0,,,,,,,,0,0,0.4560374495354639,"Garrett Hampson",19262,641658
"Tsung-Che Cheng","PIT","SS",16,,,,0,,0,1,,1,,,,,,,,0,0,0.3644288862478955,"Tsung-Che Cheng",28344,691907
"Alan Trejo","COL","SS",113,,,,0,,0,0,,0,,,,,,,,0,0,0.34801317510180785,"Alan Trejo",20056,676701
"Anthony Volpe","NYY","SS",1303.2,,,,-3,,-1,6,,2,,,,,,,,-7,-5,0.31272969395773753,"Anthony Volpe",27647,683011
"Marcelo Mayer","BOS","SS",3,,,,0,,0,0,,0,,,,,,,,0,0,0.2628373194091286,"Marcelo Mayer",29668,691785
"Cole Young","SEA","SS",2,,,,0,,0,0,,0,,,,,,,,0,0,0.22230642817152657,"Cole Young",31680,702284
"Tyler Tolbert","KCR","SS",8,,,,0,,0,0,,0,,,,,,,,0,0,0.21223987766969987,"Tyler Tolbert",25779,686475
"Gage Workman","- - -","SS",7,,,,0,,0,0,,0,,,,,,,,0,0,0.17162482647858346,"Gage Workman",27573,669398
"Caleb Durbin","MIL","SS",4,,,,0,,0,0,,0,,,,,,,,0,0,0.14382321029555084,"Caleb Durbin",29646,702332
"Bobby Dalbec","CHW","SS",11,,,,0,,0,0,,0,,,,,,,,0,0,0.13849941448221012,"Bobby Dalbec",19966,666915
"Jonathan Ornelas","- - -","SS",16,,,,0,,0,1,,1,,,,,,,,0,0,0.1268224022728726,"Jonathan Ornelas",24597,680716
"Dylan Moore","SEA","SS",37,,,,0,,-1,0,,-1,,,,,,,,0,0,0.11260933557365171,"Dylan Moore",18042,664238
"Tyler Wade","SDP","SS",4,,,,0,,0,0,,0,,,,,,,,0,0,0.0779452373449391,"Tyler Wade",15730,642180
"Casey Schmitt","SFG","SS",9,,,,0,,0,0,,0,,,,,,,,0,0,0.06365299167349588,"Casey Schmitt",27577,669477
"Jackson Holliday","BAL","SS",57,,,,0,,0,-1,,-1,,,,,,,,0,0,0.060215709067331535,"Jackson Holliday",31781,702616
"Josh Smith","TEX","SS",422.1,,,,0,,1,-4,,-3,,,,,,,,-2,-2,0.05873340829845741,"Josh Smith",26396,669701
"Amed Rosario","WSN","SS",2,,,,0,,0,0,,0,,,,,,,,0,0,0.0533784068580977,"Amed Rosario",15518,642708
"Brayan Rocchio","CLE","SS",526,,,,1,,1,-5,,-3,,,,,,,,-3,-2,0.045066001222661356,"Brayan Rocchio",23690,677587
"Trey Lipscomb","WSN","SS",1,,,,0,,0,0,,0,,,,,,,,0,0,0.025225781992835813,"Trey Lipscomb",31567,702358
"Michael Stefanic","TOR","SS",1,,,,0,,0,0,,0,,,,,,,,0,0,0.02361663647776505,"Michael Stefanic",25353,683021
"Sergio Alcántara","SFG","SS",2,,,,0,,0,0,,0,,,,,,,,,,0.010288064,"Sergio Alcantara",16417,642727
"Luis Rengifo","LAA","SS",2,,,,0,,0,0,,0,,,,,,,,,,0.010288064,"Luis Rengifo",19858,650859
"Michael Helman","TEX","SS",1,,,,0,,0,0,,0,,,,,,,,0,0,0.006750146796326189,"Michael Helman",24605,680737
"Andy Ibáñez","DET","SS",1,,,,0,,0,0,,0,,,,,,,,,,0.005144032,"Andy Ibanez",18819,628451
"Vidal Bruján","- - -","SS",43,,,,0,,0,2,,2,,,,,,,,0,-1,0.0012492744554332413,"Vidal Brujan",20536,660644
"Ildemaro Vargas","ARI","SS",4,,,,0,,0,0,,0,,,,,,,,0,0,-0.02898251661539754,"Ildemaro Vargas",13324,545121
"Santiago Espinal","CIN","SS",6,,,,0,,0,0,,0,,,,,,,,0,0,-0.03534704449528195,"Santiago Espinal",19997,669289
"Ha-Seong Kim","- - -","SS",361,,,,0,,-1,-2,,-3,,,,,,,,-3,-1,-0.06652856748449087,"Ha-Seong Kim",27506,673490
"Ronny Simon","MIA","SS",1,,,,0,,0,0,,0,,,,,,,,0,0,-0.10446291746011097,"Ronny Simon",25346,682927
"Brendan Donovan","STL","SS",41,,,,0,,0,0,,0,,,,,,,,0,0,-0.11042263207632538,"Brendan Donovan",24679,680977
"José Barrero","STL","SS",39,,,,0,,0,0,,0,,,,,,,,0,0,-0.11513315068671806,"Jose Barrero",23378,676480
"Ronny Mauricio","NYM","SS",22,,,,0,,0,0,,0,,,,,,,,0,0,-0.12102662457913911,"Ronny Mauricio",23698,677595
"Mason McCoy","SDP","SS",46,,,,0,,0,-1,,-1,,,,,,,,0,-1,-0.1664702553054372,"Mason McCoy",22232,669200
"Max Muncy","ATH","SS",56,,,,0,,0,1,,1,,,,,,,,-1,0,-0.20882150116565712,"Max Muncy",29779,691777
"Luis Vázquez","BAL","SS",57,,,,0,,0,-2,,-2,,,,,,,,-1,0,-0.22233203771205384,"Luis Vazquez",23442,676679
"Liover Peguero","PIT","SS",102,,,,0,,0,1,,1,,,,,,,,-1,-1,-0.2294459269576864,"Liover Peguero",24273,678894
"Carson Williams","TBR","SS",255.2,,,,0,,0,0,,0,,,,,,,,-2,-2,-0.24505985143501063,"Carson Williams",30038,700246
"Nicky Lopez","- - -","SS",11,,,,0,,0,-1,,-1,,,,,,,,0,0,-0.27766020548833703,"Nicky Lopez",19339,670032
"David Hamilton","BOS","SS",69,,,,0,,0,1,,1,,,,,,,,-1,-1,-0.30991098860124533,"David Hamilton",27531,666152
"Leo Jiménez","TOR","SS",7,,,,0,,0,-1,,-1,,,,,,,,-1,0,-0.3659837880692281,"Leo Jimenez",23782,677870
"Maximo Acosta","MIA","SS",39,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.3833093897996548,"Maximo Acosta",27963,691185
"Brooks Baldwin","CHW","SS",43,,,,0,,-1,0,,-1,,,,,,,,-1,0,-0.4295952986938917,"Brooks Baldwin",31394,681460
"Nick Sogard","BOS","SS",5,,,,0,,0,0,,0,,,,,,,,-1,0,-0.4410950027980517,"Nick Sogard",25483,686765
"Jordan Lawlar","ARI","SS",8,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.46953980472083917,"Jordan Lawlar",29976,691783
"Scott Kingery","LAA","SS",13,,,,0,,0,-1,,-1,,,,,,,,-1,0,-0.4733753472914188,"Scott Kingery",17975,664068
"Brett Wisely","SFG","SS",1,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.534868316065855,"Brett Wisely",27735,689172
"Oswald Peraza","- - -","SS",66,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.5667775069804686,"Oswald Peraza",22823,672724
"Luisangel Acuña","NYM","SS",36,,,,0,,0,-1,,-1,,,,,,,,-1,0,-0.5670726975360831,"Luisangel Acuna",26548,682668
"Edouard Julien","MIN","SS",1,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.6562662022304687,"Edouard Julien",27534,666397
"Brice Turang","MIL","SS",8.1,,,,0,,0,-1,,-1,,,,,,,,-1,-1,-0.6627234334611041,"Brice Turang",22186,668930
"Javier Sanoja","MIA","SS",75,,,,0,,0,0,,0,,,,,,,,-2,-1,-0.9011397195727724,"Javier Sanoja",28253,691594
"Aaron Schunk","COL","SS",53.1,,,,0,,1,-1,,0,,,,,,,,-1,-1,-0.9061794599340783,"Aaron Schunk",25524,668845
"Christian Koss","SFG","SS",32,,,,0,,1,-1,,0,,,,,,,,-1,-1,-0.9391335620961974,"Christian Koss",27653,683766
"Jack Winkler","MIA","SS",12,,,,0,,0,-1,,-1,,,,,,,,-1,-1,-0.9608507233090495,"Jack Winkler",29830,676466
"Luke Williams","ATL","SS",63.1,,,,0,,0,-2,,-2,,,,,,,,-2,-1,-0.9634184246619958,"Luke Williams",19931,663897
"Zack Short","HOU","SS",149,,,,0,,1,-2,,-1,,,,,,,,-2,-2,-0.9731602431350952,"Zack Short",19562,670097
"Willi Castro","MIN","SS",26,,,,0,,0,-2,,-2,,,,,,,,-2,-1,-1.0934636683643673,"Willi Castro",17338,650489
"Orlando Arcia","- - -","SS",173,,,,2,,0,-5,,-3,,,,,,,,-2,-1,-1.1380215964116465,"Orlando Arcia",13185,606115
"Trey Sweeney","DET","SS",759.2,,,,-1,,1,-5,,-5,,,,,,,,-6,-5,-1.1733175395417073,"Trey Sweeney",29575,700242
"Hyeseong Kim","LAD","SS",46,,,,0,,0,-1,,-1,,,,,,,,-2,-1,-1.328372266122679,"Hyeseong Kim",35322,808975
"Trevor Story","BOS","SS",1371.1,,,,-2,,1,-6,,-7,,,,,,,,-9,-8,-1.5059956841579556,"Trevor Story",12564,596115
"Zach Neto","LAA","SS",1078.1,,,,5,,1,7,,13,,,,,,,,-7,-4,-1.5120464806192855,"Zach Neto",31347,687263
"Jorge Mateo","BAL","SS",69,,,,0,,0,-3,,-3,,,,,,,,-3,-2,-1.8693729320377268,"Jorge Mateo",17273,622761
"J.P. Crawford","SEA","SS",1384.2,,,,1,,0,-4,,-3,,,,,,,,-11,-9,-2.9042386663321746,"J.P. Crawford",15491,641487
"CJ Abrams","WSN","SS",1224.1,,,,-1,,-1,-4,,-6,,,,,,,,-11,-9,-3.127757230844325,"CJ Abrams",25768,682928
"Denzer Guzman","LAA","SS",110,,,,0,,1,-4,,-3,,,,,,,,-5,-4,-3.619817735701399,"Denzer Guzman",28816,694203
"Xavier Edwards","MIA","SS",359.2,,,,2,,-1,-4,,-3,,,,,,,,-7,-4,-3.8140407591106316,"Xavier Edwards",22266,669364
"Bo Bichette","TOR","SS",1139,,,,1,,0,-13,,-12,,,,,,,,-13,-10,-5.20268646525269,"Bo Bichette",19612,666182
