Position	Name	Range/Blocking	Error/Framing	Arm	Turn DP	Games	W	L	Runs scored	Runs allowed	winpct	run score/G	run conc/G	win/162 delta	run/162 delta
SS	Baseline	60	60	55	50	100000	50231	49769	434612	433939	50.23%	4.35	4.34
SS	Baseline	60	60	55	50	100000	50093	49907	434305	433615	50.09%	4.34	4.34
SS	Baseline	60	60	55	50	100000	50118	49882	434377	434430	50.12%	4.34	4.34
SS	Baseline Average	60	60	55	50	100000	50147	49853	434431	433995	50.15%	4.34	4.34	n/a	n/a
SS	RNG40xERR60xARM55xTDP50	40	60	55	50	100000	49543	50457	434865	440217	49.54%	4.35	4.40	-0.98	-10.1
SS	RNG45xERR60xARM55xTDP50	45	60	55	50	100000	49497	50503	434811	438342	49.50%	4.35	4.38	-1.05	-7.0
SS	RNG50xERR60xARM55xTDP50	50	60	55	50	100000	49215	50785	433536	440885	49.22%	4.34	4.41	-1.51	-11.2
SS	RNG55xERR60xARM55xTDP50	55	60	55	50	100000	49146	50854	435444	442064	49.15%	4.35	4.42	-1.62	-13.1
SS	RNG65xERR60xARM55xTDP50	65	60	55	50	100000	51849	48151	434109	416465	51.85%	4.34	4.16	2.76	28.4
SS	RNG70xERR60xARM55xTDP50	70	60	55	50	100000	51991	48009	433680	413888	51.99%	4.34	4.14	2.99	32.6
SS	RNG75xERR60xARM55xTDP50	75	60	55	50	100000	51814	48186	431343	413087	51.81%	4.31	4.13	2.70	33.9
SS	RNG60xERR50xARM55xTDP50	60	50	55	50	100000	49866	50134	434246	436547	49.87%	4.34	4.37	-0.46	-4.1
SS	RNG60xERR55xARM55xTDP50	60	55	55	50	100000	49855	50145	435110	436472	49.86%	4.35	4.36	-0.47	-4.0
SS	RNG60xERR65xARM55xTDP50	60	65	55	50	100000	49965	50035	435041	434114	49.97%	4.35	4.34	-0.30	-0.2
SS	RNG60xERR70xARM55xTDP50	60	70	55	50	100000	50584	49416	435999	431954	50.58%	4.36	4.32	0.71	3.3
SS	RNG60xERR75xARM55xTDP50	60	75	55	50	100000	50331	49669	436126	432745	50.33%	4.36	4.33	0.30	2.0
SS	RNG60xERR60xARM50xTDP50	60	60	50	50	100000	49540	50460	434954	440226	49.54%	4.35	4.40	-0.98	-10.1
SS	RNG60xERR60xARM60xTDP50	60	60	60	50	100000	51070	48930	434401	424502	51.07%	4.34	4.25	1.49	15.4
SS	RNG60xERR60xARM65xTDP50	60	60	65	50	100000	51738	48262	432716	416834	51.74%	4.33	4.17	2.58	27.8
SS	RNG60xERR60xARM70xTDP50	60	60	70	50	100000	52023	47977	434215	416007	52.02%	4.34	4.16	3.04	29.1
SS	RNG60xERR60xARM75xTDP50	60	60	75	50	100000	52028	47972	434563	414357	52.03%	4.35	4.14	3.05	31.8
SS	RNG60xERR60xARM55xTDP45	60	60	55	45	100000	49737	50263	432591	436529	49.74%	4.33	4.37	-0.66	-4.1
SS	RNG60xERR60xARM55xTDP55	60	60	55	55	100000	49866	50134	433556	434460	49.87%	4.34	4.34	-0.46	-0.8
SS	RNG60xERR60xARM55xTDP60	60	60	55	60	100000	50181	49819	433240	433025	50.18%	4.33	4.33	0.05	1.6
SS	RNG60xERR60xARM55xTDP65	60	60	55	65	100000	50209	49791	435160	432998	50.21%	4.35	4.33	0.10	1.6
SS	RNG60xERR60xARM55xTDP70	60	60	55	70	100000	50339	49661	434837	433742	50.34%	4.35	4.34	0.31	0.4
