name,avk,babip,gap,pow,eye,G,W,L,RS,RA,AB,R,H,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,OBP,SLG,OPS,winpct,runs_per_g
Baseline_1,50,50,50,50,50,100000,50143,49857,437889,435152,414165,53378,107676,22094,1717,11972,44590,169120,33743,96472,3267,2630,0.260,0.316,0.408,0.725,0.5014,4.379
Baseline_2,50,50,50,50,50,100000,49981,50019,437442,436120,414391,52857,107503,21721,1753,12048,44566,168874,33526,96560,3281,2746,0.259,0.316,0.408,0.723,0.4998,4.374
Baseline_3,50,50,50,50,50,100000,50064,49936,437105,436245,413881,53300,107503,22131,1736,12024,44747,169178,33815,97049,3221,2613,0.260,0.316,0.409,0.725,0.5006,4.371
Diabolical,20,20,20,20,20,100000,45039,54961,382270,435927,334620,14558,34945,2941,194,746,8594,40512,4198,171517,1381,1082,0.104,0.118,0.121,0.239,0.4504,3.823
DiabolicalPower50,20,20,20,50,20,100000,46229,53771,394284,435735,345054,23763,44006,2765,180,10157,22750,77602,4317,176749,1326,1017,0.128,0.141,0.225,0.366,0.4623,3.943
DiabolicalPower55,20,20,20,55,20,100000,46579,53421,396772,435682,347172,26279,45923,2657,213,12688,26144,87070,4412,178373,1368,1058,0.132,0.146,0.251,0.397,0.4658,3.968
AVK20,20,50,50,50,50,100000,47491,52509,407344,434054,381888,38175,65383,12112,899,11018,30759,112347,30506,196908,2268,1829,0.171,0.234,0.294,0.529,0.4749,4.073
AVK25,25,50,50,50,50,100000,48291,51709,417221,434212,404354,44327,83005,16088,1231,11599,37046,136352,32373,164423,2640,2187,0.205,0.266,0.337,0.603,0.4829,4.172
AVK30,30,50,50,50,50,100000,48530,51470,420121,434355,404968,45908,87544,17007,1332,11788,38826,142579,32451,149603,2737,2233,0.216,0.276,0.352,0.628,0.4853,4.201
AVK35,35,50,50,50,50,100000,48910,51090,424356,433982,407326,48253,92928,18382,1383,12007,40543,150097,32992,135822,2861,2347,0.228,0.287,0.368,0.656,0.4891,4.244
AVK40,40,50,50,50,50,100000,49429,50571,429496,435052,411466,50160,99238,19791,1537,12052,42464,158259,33322,120970,3151,2473,0.241,0.299,0.385,0.684,0.4943,4.295
AVK45,45,50,50,50,50,100000,49612,50388,430723,433896,412767,51151,103302,20931,1581,11970,43262,163305,33686,107135,3127,2593,0.250,0.308,0.396,0.703,0.4961,4.307
AVK55,55,50,50,50,50,100000,49993,50007,436505,435688,416343,53981,111641,22861,1766,12162,46077,174520,33620,85754,3441,2618,0.268,0.323,0.419,0.743,0.4999,4.365
AVK60,60,50,50,50,50,100000,50247,49753,439463,435915,417529,54564,114617,23537,1865,12187,46814,178445,33465,77091,3438,2684,0.275,0.329,0.427,0.756,0.5025,4.395
AVK65,65,50,50,50,50,100000,50630,49370,439484,435042,418192,55143,117247,24135,1865,12167,47226,181613,33135,69074,3507,2739,0.280,0.334,0.434,0.768,0.5063,4.395
AVK70,70,50,50,50,50,100000,50979,49021,444668,434770,418853,56883,120853,24988,1960,12320,48950,186721,33675,60039,3650,2838,0.289,0.342,0.446,0.788,0.5098,4.447
AVK75,75,50,50,50,50,100000,51362,48638,448469,434705,420231,58482,123822,25539,2004,12546,50479,191007,36282,52335,3700,2998,0.295,0.351,0.455,0.805,0.5136,4.485
AVK80,80,50,50,50,50,100000,51525,48475,448791,433849,420782,59435,127028,26425,2037,12447,51008,194868,36088,42974,3798,3025,0.302,0.357,0.463,0.820,0.5153,4.488
BABIP20,50,20,50,50,50,100000,48007,51993,418455,437707,388004,41908,72448,14005,995,11397,35258,122634,31651,89324,2582,2093,0.187,0.249,0.316,0.565,0.4801,4.185
BABIP25,50,25,50,50,50,100000,48724,51276,423773,436716,404420,46594,87357,16999,1331,11644,39277,141950,32530,93187,2816,2319,0.216,0.275,0.351,0.626,0.4872,4.238
BABIP30,50,30,50,50,50,100000,49327,50673,427920,435468,404590,47990,91393,17983,1342,11683,40510,147109,32894,93394,2968,2353,0.226,0.285,0.364,0.649,0.4933,4.279
