name,rng,err,arm,tdp,run_delta_162
Baseline_1,60,60,55,50,0
Baseline_2,60,60,55,50,0
Baseline_3,60,60,55,50,0
RNG40,40,60,55,50,-10.1
RNG45,45,60,55,50,-7.0
RNG50,50,60,55,50,-11.2
RNG55,55,60,55,50,-13.1
RNG65,65,60,55,50,28.4
RNG70,70,60,55,50,32.6
RNG75,75,60,55,50,33.9
ERR50,60,50,55,50,-4.1
ERR55,60,55,55,50,-4.0
ERR65,60,65,55,50,-0.2
ERR70,60,70,55,50,3.3
ERR75,60,75,55,50,2.0
ARM50,60,60,50,50,-10.1
ARM60,60,60,60,50,15.4
ARM65,60,60,65,50,27.8
ARM70,60,60,70,50,29.1
ARM75,60,60,75,50,31.8
TDP45,60,60,55,45,-4.1
TDP55,60,60,55,55,-0.8
TDP60,60,60,55,60,1.6
TDP65,60,60,55,65,1.6
TDP70,60,60,55,70,0.4
TDP75,60,60,55,75,0.8
RNG70xERR70xARM70xTDP70,70,70,70,70,41.2
RNG70xERR70xARM55xTDP50,70,70,55,50,34.9
RNG70xERR60xARM70xTDP50,70,60,70,50,31.8
RNG70xERR60xARM55xTDP70,70,60,55,70,33.2
RNG60xERR70xARM70xTDP50,60,70,70,50,35.6
RNG60xERR70xARM55xTDP70,60,70,55,70,4.4
RNG60xERR60xARM70xTDP70,60,60,70,70,33.1
RNG50xERR60xARM50xTDP50,50,60,50,50,-12.1
RNG70xERR60xARM50xTDP50,70,60,50,50,33.4
RNG40xERR60xARM40xTDP50,40,60,40,50,-8.2
RNG45xERR60xARM45xTDP50,45,60,45,50,-8.7
RNG65xERR60xARM65xTDP50,65,60,65,50,30.7
RNG75xERR60xARM75xTDP50,75,60,75,50,36.2
RNG65xERR60xARM70xTDP50,65,60,70,50,35.0
RNG70xERR60xARM65xTDP50,70,60,65,50,32.8
RNG65xERR60xARM75xTDP50,65,60,75,50,34.8
RNG70xERR60xARM75xTDP50,70,60,75,50,32.7
RNG75xERR60xARM70xTDP50,75,60,70,50,33.2
RNG40xERR60xARM70xTDP50,40,60,70,50,-11.0
RNG70xERR60xARM40xTDP50,70,60,40,50,28.5
RNG75xERR60xARM40xTDP50,75,60,40,50,30.0
RNG40xERR60xARM75xTDP50,40,60,75,50,-9.8
RNG40xERR60xARM65xTDP50,40,60,65,50,-8.6
RNG50xERR60xARM65xTDP50,50,60,65,50,-14.1
RNG50xERR60xARM70xTDP50,50,60,70,50,-15.2
RNG50xERR60xARM40xTDP50,50,60,40,50,-7.6
RNG55xERR60xARM65xTDP50,55,60,65,50,-6.9
RNG55xERR60xARM70xTDP50,55,60,70,50,1.1
RNG65xERR60xARM40xTDP50,65,60,40,50,-4.5
RNG65xERR60xARM60xTDP50,65,60,60,50,32.6
RNG70xERR60xARM45xTDP50,70,60,45,50,32.0
RNG65xERR60xARM45xTDP50,65,60,45,50,4.6
RNG65xERR60xARM50xTDP50,65,60,50,50,22.7
RNG55xERR60xARM40xTDP50,55,60,40,50,-12.1
RNG55xERR60xARM45xTDP50,55,60,45,50,-13.8
RNG55xERR60xARM50xTDP50,55,60,50,50,-12.7
RNG55xERR60xARM60xTDP50,55,60,60,50,-12.0
RNG55xERR60xARM75xTDP50,55,60,75,50,18.5
RNG60xERR60xARM40xTDP50,60,60,40,50,-13.3
RNG60xERR60xARM45xTDP50,60,60,45,50,-11.3
RNG70xERR60xARM60xTDP50,70,60,60,50,32.3
